names,minTempWarm,bio9,bio16,bio14,bio18,bio19,bio7,DEM,topoWet,tri,ECO_NUM,EVI,NVDI,VCF
Mpalliolata,202,25.53333282,492,8,222,56,11.29999924,348,11.60999966,6.119999886,9,3319,5582,17
Mpalliolata,180,21.35000038,414,10,308,93,11.30000114,775,7.050000191,175.1199951,17,6422,8158,54
Mpalliolata,137,18.71666718,533,35,304,197,11.69999981,1523,6.880000114,201.6199951,18,5788,7317,79
Mpalliolata,181,23.05000114,500,13,193,69,11.5,649,10.23999977,30.75,17,3669,5295,8
Mpalliolata,153,19.23333359,438,14,285,138,12,1032,8.460000038,121,9,3745,6394,29
Mpalliolata,161,20.5,466,11,320,198,11.59999943,1004,8.460000038,94.62000275,9,4276,7871,69
Mpalliolata,173,21.11666679,461,16,324,195,11.80000019,887,9.409999847,80.25,9,5071,6307,64
Mpalliolata,175,21.33333397,481,21,288,194,11.80000114,744,9.090000153,117.6200027,9,3327,5714,51
Mpalliolata,199,23.94999886,409,16,249,118,10.79999924,395,8.430000305,68,17,6510,8337,30
Mpalliolata,230,26.5,549,20,321,245,12,95,10.14999962,35.75,17,4330,6588,16
Mpalliolata,196,23.93333244,393,10,277,152,10.80000114,465,8.670000076,131.5,17,5363,8243,74
Mpalliolata,233,25.5,412,14,294,188,9.799999237,167,8.920000076,102.25,17,5465,7504,69
Mpalliolata,164,20.01666641,336,16,236,108,12.10000038,976,9.43999958,32.61999893,17,3757,5084,8
Mpalliolata,155,19.18333244,377,14,377,112,12.00000095,1053,7.190000057,219.8800049,17,5031,7985,61
Mpalliolata,233,26.78333282,623,51,322,432,11.99999809,69,9.899999619,23.12000084,17,5750,7449,44
Mpalliolata,180,22.5,423,18,297,165,11.29999924,603,8.609999657,80.5,17,4166,7853,63
Mpalliolata,168,21.44999886,319,15,209,130,11.80000019,889,9.329999924,19.87999916,17,1898,2812,5
Mpalliolata,138,17.83333397,409,17,375,136,12.70000076,1364,7.170000076,231.75,17,4924,7670,76
Mpalliolata,142,17.76666641,412,31,408,153,12.39999962,1387,7.010000229,129.3800049,9,4912,8416,78
Mpalliolata,180,21.86666679,404,21,263,140,11.29999924,635,7.46999979,213.5,17,5380,7775,74
Mpalliolata,234,26.28333282,576,40,349,240,9.700000763,92,10.82999992,20.62000084,1,3920,5728,34
Mpalliolata,191,22.66666603,320,18,177,107,10.89999962,496,7.420000076,168.8800049,17,5500,7648,70
Mpalliolata,239,26.38333321,403,17,308,220,10,15,13.02999973,1,9,4021,5839,17
Mpalliolata,217,25.36666679,432,27,286,252,10,110,10.48999977,18.75,19,4954,6436,51
Mpalliolata,188,22.64999962,612,66,469,355,11.5,675,8.56000042,89,75,5159,7104,12
Mpalliolata,176,21.41666603,562,43,472,243,11.19999886,1007,8.140000343,163.3800049,75,3811,5533,24
Mpalliolata,175,21.75,531,41,481,214,11.10000038,962,9.079999924,87.37999725,75,5819,7333,26
Mpalliolata,218,26.25,706,15,485,158,10.79999924,374,11.22000027,12,75,4970,7622,26
Mpalliolata,195,23.58333397,556,16,392,233,10,778,8.329999924,165,75,5944,8627,60
Mpalliolata,222,26.60000038,519,32,441,120,11.09999847,179,8.899999619,97,8,6690,8366,39
Mpalliolata,209,24.41666603,435,26,399,251,10.39999962,606,9.359999657,92.87999725,75,4623,6721,37
Mpalliolata,225,26.88333321,663,18,394,95,11.60000229,107,12.03999996,14.11999989,22,4476,6893,17
Mpalliolata,171,22.63333321,599,11,263,57,11.29999924,783,10.09000015,86.75,9,4210,7412,42
Mpalliolata,192,24.33333397,585,14,244,585,12.10000038,482,10.02000046,56.88000107,9,4877,7014,26
Mpalliolata,155,19.36666679,156,13,148,50,11.80000019,1150,6.989999771,214.75,17,4135,8080,33
Mpalliolata,217,24.89999962,482,21,303,211,11.79999924,239,8.93999958,93.75,17,5497,7784,59
Mpalliolata,213,25.26666641,605,18,362,114,11.39999962,322,9.399999619,81.25,22,5848,7583,52
Mpalliolata,220,25.38333321,491,29,390,206,10.29999924,205,9.600000381,48.88000107,1,4581,7611,64
Mpalliolata,216,25.30000114,407,29,291,236,10.10000038,124,10.56000042,15.75,19,4538,6220,20
Mpalliolata,221,26.01666641,424,17,289,251,9.800001144,93,9.600000381,81.87999725,19,5534,7333,20
Mpalliolata,180,22.89999962,438,9,213,113,11.5,655,10.09000015,16,17,3817,4985,4
Mpalliolata,181,23.26666641,470,7,195,78,11.5,643,10.10000038,8.380000114,17,3590,5282,26
Mpalliolata,195,23.33333397,592,32,451,183,10,797,9.159999847,81.12000275,75,5886,8530,54
Mpalliolata,242,26.51666641,392,20,278,171,9.899999619,9,13.90999985,1.25,9,4854,6681,43
Mpalliolata,195,22.89999962,419,9,245,64,10.70000076,472,8.390000343,179.25,9,5018,7999,64
Mpalliolata,143,18.86666679,356,17,300,178,12.19999886,1271,7,272,17,3695,7072,74
Mpalliolata,239,27.35000038,497,18,260,261,11.89999771,12,13.31000042,3,9,5280,7703,53
Mpalliolata,241,27.60000038,511,25,442,226,11,121,10.98999977,25.25,22,4045,6151,19
Mpalliolata,182,21.75,414,42,380,167,10.59999847,961,6.840000153,142.25,75,5321,7955,33
Mpalliolata,239,27.41666794,441,23,425,239,11,163,10.61999989,13.25,22,3821,6020,20
Mpalliolata,238,27.76666641,431,18,351,86,10.89999962,3,12.78999996,0.879999995,1,4958,6864,17
Mpalliolata,242,28,504,25,504,215,10.89999962,58,11.10999966,5.25,22,6106,7516,16
Mpalliolata,210,24.41666603,448,23,272,130,10.29999924,354,7.940000057,137.1199951,17,4659,6823,36
Mpalliolata,182,22.94999886,467,12,186,99,11.19999886,610,7.929999828,83.37999725,17,3354,6240,37
